Old Filename,New Filename
01 22 (OVER S∞∞N).flac,01 - 22 (over S∞∞n).flac
02 10 d E A T h b R E a s T ⚄ ⚄.flac,02 - 10 D E A T H B R E A S T ⚄ ⚄.flac
03 715 - CR∑∑KS.flac,03 - 715 - Cr∑∑ks.flac
04 33 “GOD”.flac,04 - 33 “god”.flac
05 29 #Strafford APTS.flac,05 - 29 #strafford Apts.flac
06 666 ʇ.flac,06 - 666 Ʇ.flac
07 21 M◊◊N WATER.flac,07 - 21 M◊◊n Water.flac
08 8 (circle).flac,08 - 8 (circle).flac
09 ____45_____.flac,09 - ____45_____.flac
10 00000 Million.flac,10 - 00000 Million.flac
